item_id,store_id,stratum,forecast_28d,sigma,safety_stock_95pct,reorder_point_95pct
FOODS_3_473,WI_3,High_Volume | Continuous,73.0,2.22,1.2,9.0
HOUSEHOLD_1_019,CA_2,High_Volume | Continuous,141.7,2.5,1.3,16.5
FOODS_1_018,TX_1,High_Volume | Continuous,205.9,3.83,2.1,24.1
FOODS_3_109,CA_4,High_Volume | Continuous,44.0,0.75,0.4,5.1
FOODS_3_750,TX_2,High_Volume | Continuous,72.8,1.81,1.0,8.8
FOODS_3_532,WI_3,High_Volume | Intermittent,87.9,2.02,1.1,10.5
FOODS_3_493,CA_4,High_Volume | Intermittent,35.8,1.03,0.6,4.4
FOODS_3_661,WI_3,High_Volume | Intermittent,59.8,2.7,1.5,7.9
FOODS_3_682,CA_1,High_Volume | Intermittent,219.4,4.64,2.5,26.0
HOBBIES_1_030,TX_2,High_Volume | Intermittent,86.6,2.89,1.6,10.8
HOUSEHOLD_2_439,WI_2,Low_Volume | Continuous,10.9,0.66,0.4,1.5
HOUSEHOLD_1_367,WI_2,Low_Volume | Continuous,7.0,0.59,0.3,1.1
HOUSEHOLD_1_052,TX_3,Low_Volume | Continuous,6.0,0.44,0.2,0.9
HOUSEHOLD_1_231,WI_3,Low_Volume | Continuous,14.3,0.84,0.5,2.0
HOUSEHOLD_1_419,WI_1,Low_Volume | Continuous,2.3,0.27,0.1,0.4
HOUSEHOLD_2_506,WI_3,Low_Volume | Intermittent,1.6,0.2,0.1,0.3
HOBBIES_1_344,WI_1,Low_Volume | Intermittent,5.9,0.37,0.2,0.8
HOBBIES_2_049,CA_1,Low_Volume | Intermittent,8.8,0.57,0.3,1.2
FOODS_3_016,WI_3,Low_Volume | Intermittent,33.9,1.11,0.6,4.2
FOODS_3_790,CA_4,Low_Volume | Intermittent,10.5,0.73,0.4,1.5
FOODS_3_055,CA_2,Med_Volume | Continuous,24.0,0.98,0.5,3.1
HOBBIES_1_017,CA_2,Med_Volume | Continuous,22.8,1.06,0.6,3.0
FOODS_2_186,CA_3,Med_Volume | Continuous,22.5,1.12,0.6,3.0
FOODS_3_102,TX_1,Med_Volume | Continuous,8.6,0.59,0.3,1.2
FOODS_2_295,TX_1,Med_Volume | Continuous,6.5,0.33,0.2,0.9
HOUSEHOLD_1_457,CA_4,Med_Volume | Intermittent,12.1,0.72,0.4,1.7
FOODS_2_121,TX_1,Med_Volume | Intermittent,15.6,0.77,0.4,2.1
FOODS_2_110,CA_2,Med_Volume | Intermittent,57.2,1.65,0.9,7.0
FOODS_1_125,TX_2,Med_Volume | Intermittent,17.5,0.57,0.3,2.2
FOODS_3_093,CA_4,Med_Volume | Intermittent,24.2,0.91,0.5,3.1
